,inspect_name,address,latitude,longitude,inspectionidnumber,dateofinspection,inspectiontype,inspectionscore,updated,yelp_categories,yelp_name,yelp_id,yelp_price,yelp_url,yelp_transactions,yelp_phone,yelp_rating,yelp_reviews,google_name,google_id,google_rating,google_reviews,google_price,agg_rating,total_reviews
112,BRUEGGERS BAGEL BAKERY,"651 Nicollet Mall #139, Minneapolis, MN 55402, United States",44.97719,-93.27137,"[52656, 209027, 227802, 233539, 209026]","['2017/07/31', '2017/10/05', '2017/11/21', '2018/01/12', '2019/01/25']","['Routine', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Routine']","[88, 90, 98, 100, 98]","Fri, Mar 13, 2020 at 02:50 AM","['Bagels', 'Breakfast & Brunch', 'Sandwiches']",Bruegger's Bagels,Je0XjxGOtp38VhvZ-ibCeg,$,https://www.yelp.com/biz/brueggers-bagels-minneapolis-21?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 339-3311,3.0,31.0,Bruegger's Bagels,ChIJo7c5t5Ays1IRbFrJCozhcHM,4.0,89,1.0,3.74,120.0
113,BRYANT LAKE BOWL,"810 W Lake St, Minneapolis, MN 55408, United States",44.94866,-93.29028,"[277718, 287154, 287153]","['2019/01/08', '2019/02/12', '2020/01/08']","['Routine', 'Follow-Up', 'Routine']","[94, 98, 96]","Fri, Mar 13, 2020 at 02:50 AM","['American (New)', 'Bars']",Bryant Lake Bowl,lnBW3PF5l90mpPwYO74h7w,$$,https://www.yelp.com/biz/bryant-lake-bowl-minneapolis-2?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,[],(612) 825-3737,3.5,322.0,Bryant-Lake Bowl & Theater,ChIJqRmGeoYn9ocROJ_rUgwsy0o,4.4,1251,2.0,4.22,1573.0
114,BUCA DI BEPPO,"1204 Harmon Pl, Minneapolis, MN 55403, United States",44.974,-93.28005,"[52811, 225698, 225697, 272062, 331111]","['2017/09/12', '2017/10/24', '2018/09/13', '2019/10/01', '2019/10/17']","['Routine', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up']","[80, 96, 96, 82, 92]","Fri, Mar 13, 2020 at 02:50 AM",['Italian'],Buca di Beppo Italian Restaurant,G-bJ5jERpzuTDPWvoNqKig,$$,https://www.yelp.com/biz/buca-di-beppo-minneapolis-6?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,"['pickup', 'delivery']",(612) 288-0138,3.5,153.0,Buca di Beppo Italian Restaurant,ChIJqes_IZUys1IRSpQKHzpmXpw,4.3,966,2.0,4.19,1119.0
115,BUFFALO WILD WINGS GRILL & BAR #292,"2001 University Ave SE #100, Minneapolis, MN 55455, United States",44.97617,-93.22676,"[124369, 124368, 234872, 281107, 338479]","['2017/04/06', '2017/12/06', '2018/12/07', '2019/12/05', '2020/01/28']","['Follow-Up', 'Routine', 'Routine', 'Routine', 'Follow-Up']","[100, 94, 96, 90, 100]","Fri, Mar 13, 2020 at 02:50 AM","['Chicken Wings', 'American (Traditional)', 'Sports Bars']",Buffalo Wild Wings,2US95XpoWFzM-fJugnu5uQ,$$,https://www.yelp.com/biz/buffalo-wild-wings-minneapolis-2?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 617-9464,2.0,98.0,Buffalo Wild Wings,ChIJG39F1Xsts1IRR-5LIEKOxXk,3.1,891,2.0,2.99,989.0
116,BULL'S HORN,"4563 S 34th Ave, Minneapolis, MN 55406, United States",44.91989,-93.22256,"[228098, 237231, 237230, 291134, 291133, 346225]","['2018/01/03', '2018/03/01', '2019/01/17', '2019/02/22', '2020/01/17', '2020/02/04']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']","[86, 92, 90, 96, 72, 94]","Fri, Mar 13, 2020 at 02:50 AM","['Bars', 'American (Traditional)']",Bull's Horn Food and Drink,dCIBsVR0fn3vOhHIYgU60A,$$,https://www.yelp.com/biz/bulls-horn-food-and-drink-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,[],(612) 208-1378,4.0,88.0,Bull's Horn Food and Drink,ChIJN55LK1Qo9ocRwkSM-Snn4co,4.5,533,1.0,4.43,621.0
117,"BULLDOG DOWNTOWN, THE","1111 Hennepin Ave, Minneapolis, MN 55403, United States",44.9748,-93.27937,"[52877, 190079, 189461, 237332, 237331, 287215, 340287, 346220]","['2017/01/27', '2017/03/24', '2018/01/05', '2018/02/20', '2019/01/04', '2020/01/03', '2020/01/17', '2020/02/19']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up', 'Follow-Up']","[96, 100, 90, 100, 96, 78, 82, 94]","Fri, Mar 13, 2020 at 02:50 AM","['Bars', 'Burgers']",The Bulldog Downtown,7So6bvtl5Li4lhzOBHk8AA,$$,https://www.yelp.com/biz/the-bulldog-downtown-minneapolis-2?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,"['pickup', 'delivery']",(612) 339-0638,3.0,55.0,The Bulldog Downtown,ChIJKzOP65Qys1IRIwASstOhIRs,4.3,409,2.0,4.15,464.0
118,"BULLDOG RESTAURANT, THE","2549 Lyndale Ave S, Minneapolis, MN 55403, United States",44.95589,-93.28762,"[123829, 232087, 277676]","['2017/11/02', '2018/10/30', '2019/11/01']","['Routine', 'Routine', 'Routine']","[100, 96, 94]","Fri, Mar 13, 2020 at 02:50 AM","['American (Traditional)', 'Pubs', 'Beer Bar']",The Bulldog Uptown,Mkn5hEm7z9m4yJu7B2xG-Q,$$,https://www.yelp.com/biz/the-bulldog-uptown-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 872-8893,3.5,177.0,The Bulldog Uptown,ChIJObThls0ys1IRoITXyZDymBM,4.4,512,2.0,4.17,689.0
119,BULLWINKLE'S SALOON & FUN BAR,"1429 S Washington Ave, Minneapolis, MN 55454, United States",44.97294,-93.24808,"[52910, 231760, 237189, 231759, 280730]","['2017/10/25', '2017/12/12', '2018/02/06', '2018/11/30', '2019/01/18']","['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up']","[80, 80, 100, 84, 94]","Fri, Mar 13, 2020 at 02:50 AM","['Dive Bars', 'American (Traditional)']",Bullwinkle’s Saloon & Funbar,ps1AVjCzwZaoyl2UTSfhMQ,$$,https://www.yelp.com/biz/bullwinkle-s-saloon-and-funbar-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,"['delivery', 'pickup']",(612) 309-3062,3.0,17.0,Bullwinkle’s Saloon,ChIJCVOMLGgts1IRSRtzfmbnFi8,4.0,132,1.0,3.89,149.0
120,BUNKER'S,"761 N Washington Ave, Minneapolis, MN 55401, United States",44.98854,-93.27876,"[52961, 191905, 191904, 246059, 247810, 253349, 246058]","['2017/02/28', '2017/03/30', '2018/03/07', '2018/04/09', '2018/06/25', '2018/08/02', '2019/03/27']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Routine']","[92, 100, 96, 98, 96, 98, 96]","Fri, Mar 13, 2020 at 02:50 AM","['American (Traditional)', 'Bars']",Bunker's Music Bar & Grill,cvqfrooysU0sI91UN6BIlA,$$,https://www.yelp.com/biz/bunkers-music-bar-and-grill-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 338-8188,3.5,65.0,Bunker's Music Bar & Grill,ChIJ0XmcMIoys1IRah3CG5y3rqI,4.5,619,1.0,4.4,684.0
121,BUNNY'S NE,"34 13th Ave NE, Minneapolis, MN 55413, United States",44.99914,-93.27166,"[279163, 285950]","['2018/12/14', '2019/12/12']","['Routine', 'Routine']","[96, 92]","Fri, Mar 13, 2020 at 02:50 AM","['Sports Bars', 'Burgers', 'American (Traditional)']",Bunny's Bar & Grill NE,jeZWuEGlfrYwbKPRnQTuvA,$$,https://www.yelp.com/biz/bunnys-bar-and-grill-ne-minneapolis-2?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 545-5659,3.5,46.0,Bunny's Bar & Grill NE,ChIJr6IAj3oys1IRkyKAY4HwA0A,4.4,684,2.0,4.34,730.0
122,BURCH STEAK & PIZZA BAR,"1933 Colfax Ave S, Minneapolis, MN 55403, United States",44.96302,-93.29152,"[52978, 203399, 266520]","['2017/06/29', '2018/07/17', '2019/08/21']","['Routine', 'Routine', 'Routine']","[98, 98, 96]","Fri, Mar 13, 2020 at 02:50 AM","['Steakhouses', 'Pizza', 'Desserts']",Burch Steak and Pizza Bar,XQlAknWdrFAe-odzTSc_0Q,$$$,https://www.yelp.com/biz/burch-steak-and-pizza-bar-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 843-1515,4.0,538.0,Burch Steak,ChIJN8U6ktoys1IRj_PB_C-e0_0,4.5,882,3.0,4.31,1420.0
123,BURGER JONES,"Calhoun Village Shopping Center, 3200 W Lake St, Minneapolis, MN 55416, United States",44.94913,-93.32083,"[59517, 193953, 247620, 247619]","['2017/03/23', '2018/04/04', '2018/05/14', '2019/04/17']","['Routine', 'Routine', 'Follow-Up', 'Routine']","[98, 94, 96, 100]","Fri, Mar 13, 2020 at 02:50 AM",['Burgers'],Burger Jones,T6g29ne5j7JjgUewL1ZN-w,$$,https://www.yelp.com/biz/burger-jones-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,"['pickup', 'delivery']",(612) 746-0800,3.5,377.0,Burger Jones,ChIJhdt0QF4n9ocRCqgMYAc1YBI,4.3,882,2.0,4.06,1259.0
124,BURGER KING,"925 Washington Ave SE, Minneapolis, MN 55414, United States",44.97399,-93.22483,"[59577, 189096, 253809]","['2017/01/05', '2018/06/29', '2020/01/02']","['Routine', 'Routine', 'Routine']","[100, 98, 100]","Fri, Mar 13, 2020 at 02:50 AM","['Fast Food', 'Burgers']",Burger King,qAUPAfgELB_kQwzlISJxIQ,$,https://www.yelp.com/biz/burger-king-minneapolis-17?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],,2.0,14.0,Burger King,ChIJGW3SrBgts1IRLvbt05cn_8c,3.6,419,1.0,3.55,433.0
125,BURGER KING,"3200 N Washington Ave, Minneapolis, MN 55412, United States",45.01334,-93.28129,"[225878, 234867]","['2017/12/07', '2019/05/30']","['Routine', 'Routine']","[96, 98]","Fri, Mar 13, 2020 at 02:50 AM","['Burgers', 'Fast Food']",Burger King,WU-ljGIllBoW8L3Zh-d1Zw,$,https://www.yelp.com/biz/burger-king-minneapolis-4?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],,1.5,11.0,Burger King,ChIJ_RPfHhQys1IRG3FYBztA8PA,3.2,750,1.0,3.18,761.0
126,BURGER KING,"1500 NE Stinson Blvd Ne, Minneapolis, MN 55413, United States",45.00322,-93.22816,"[59538, 234870]","['2017/12/07', '2019/06/07']","['Routine', 'Routine']","[96, 92]","Fri, Mar 13, 2020 at 02:50 AM","['Burgers', 'Fast Food']",Burger King,FHLBosedLW-e-Vm7TN7XdA,$,https://www.yelp.com/biz/burger-king-minneapolis-15?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,[],,1.5,18.0,Burger King,ChIJr2TWLbIts1IRLBrwEANIpZ4,3.3,540,1.0,3.24,558.0
127,BURGER KING #5846,"4605 Hiawatha Ave, Minneapolis, MN 55406, United States",44.91881,-93.21717,"[203940, 230839, 230838, 275872]","['2017/10/18', '2017/12/11', '2018/10/16', '2019/10/16']","['Routine', 'Follow-Up', 'Routine', 'Routine']","[92, 96, 96, 96]","Fri, Mar 13, 2020 at 02:50 AM","['Fast Food', 'Burgers']",Burger King,mHa3UqR3cq23g5dFnmiSDQ,$,https://www.yelp.com/biz/burger-king-minneapolis-3?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],,3.0,8.0,Burger King,ChIJDTzFKVUo9ocR7tnmA9UV_pQ,3.8,668,1.0,3.79,676.0
128,BURRIGATO,"314 15th Ave SE, Minneapolis, MN 55414, United States",44.97925,-93.23444,"[205633, 237441, 237440, 286944, 340440]","['2018/01/02', '2018/02/27', '2019/01/04', '2020/01/08', '2020/02/03']","['Routine', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up']","[88, 96, 96, 90, 100]","Fri, Mar 13, 2020 at 02:50 AM",['Asian Fusion'],Burrigato,B3I8gIURhsS4mKG_HVPcXg,$,https://www.yelp.com/biz/burrigato-minneapolis-2?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,"['delivery', 'pickup']",(612) 259-7885,4.0,52.0,Burrigato,ChIJRQ0EDhEts1IRLWqFr3tj55Y,4.6,129,1.0,4.43,181.0
129,BURRITO LOCO,"418 13th Ave SE, Minneapolis, MN 55414, United States",44.9815,-93.23648,"[59679, 194489, 198290, 194488, 248881, 252196, 254723, 248880, 309918]","['2017/04/04', '2017/05/09', '2017/07/06', '2018/04/18', '2018/06/04', '2018/07/16', '2018/09/07', '2019/04/30', '2019/06/14']","['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up']","[76, 94, 94, 80, 92, 94, 98, 86, 92]","Fri, Mar 13, 2020 at 02:50 AM",['Mexican'],Burrito Loco Bar & Grill,lNZGXSFfxCfu4_ecyZreIw,$,https://www.yelp.com/biz/burrito-loco-bar-and-grill-minneapolis-2?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,"['delivery', 'pickup']",(612) 746-5626,3.0,138.0,Burrito Loco,ChIJP4-sHRIts1IRrAf0MF-0IYw,4.0,625,1.0,3.82,763.0
130,BUSTERS ON 28TH,"4204 S 28th Ave, Minneapolis, MN 55406, United States",44.92668,-93.23249,"[59723, 210176, 226811, 210175, 267112, 267111]","['2017/07/26', '2017/09/25', '2017/11/27', '2018/08/23', '2018/10/17', '2019/09/10']","['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']","[62, 84, 98, 76, 98, 94]","Fri, Mar 13, 2020 at 02:50 AM","['Gastropubs', 'American (Traditional)']",Buster's on 28th,WSW-5Rnm1bNSK7ezY9TzLw,$$,https://www.yelp.com/biz/busters-on-28th-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 729-0911,4.0,261.0,Buster's On 28th,ChIJYVLys0Qo9ocRDNAYwYq45XU,4.5,892,2.0,4.39,1153.0
131,BUTTER BAKERY CAFE,"3700 Nicollet Ave, Minneapolis, MN 55409, United States",44.93549,-93.27839,"[59813, 194315, 194314, 249091, 249090, 309676]","['2017/03/31', '2017/05/02', '2018/04/26', '2018/06/19', '2019/05/01', '2019/06/17']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']","[90, 100, 92, 96, 94, 100]","Fri, Mar 13, 2020 at 02:50 AM","['Breakfast & Brunch', 'Bakeries', 'Cafes']",Butter Bakery Café,kbYjplzxRNfTZ8X4Wx54cA,$,https://www.yelp.com/biz/butter-bakery-caf%C3%A9-minneapolis-2?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 521-7401,4.0,222.0,Butter Bakery Cafe,ChIJdz9uvJYn9ocRBRrmokpqzqI,4.5,448,2.0,4.33,670.0
132,C C CLUB,"2600 Lyndale Ave S, Minneapolis, MN 55408, United States",44.95539,-93.28847,"[59874, 218540, 270754]","['2017/08/10', '2018/08/17', '2019/08/16']","['Routine', 'Routine', 'Routine']","[94, 96, 96]","Fri, Mar 13, 2020 at 02:50 AM",['Dive Bars'],CC Club,WRcGR85ybKGqhxGAnSfNkw,$,https://www.yelp.com/biz/cc-club-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 874-7226,3.0,156.0,CC Club,ChIJUwd2ms0ys1IREKoGY8iIkMw,4.2,879,1.0,4.02,1035.0
133,C MCGEE'S DELI,"1001, 901 N 3rd St #123, Minneapolis, MN 55401, United States",44.98907,-93.28192,"[59908, 190564, 189940, 243245, 304488]","['2017/02/03', '2017/03/17', '2018/02/14', '2019/02/25', '2020/02/24']","['Routine', 'Follow-Up', 'Routine', 'Routine', 'Routine']","[86, 94, 96, 98, 96]","Fri, Mar 13, 2020 at 02:50 AM","['Delis', 'Breakfast & Brunch']",C McGee's Deli,irTAxcYgg8eVCahiV6VjEA,$,https://www.yelp.com/biz/c-mcgees-deli-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,"['pickup', 'delivery']",(612) 288-0606,4.0,22.0,C McGee's Deli,ChIJjW6yw4oys1IRFs2dnxhIQJs,4.6,66,2.0,4.45,88.0
134,C&G'S SMOKING BBQ,"4743 Nicollet Ave, Minneapolis, MN 55419, United States",44.9163,-93.27759,"[214823, 254178, 262459, 254177, 314015]","['2018/06/19', '2018/08/02', '2018/10/11', '2019/06/19', '2019/07/26']","['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up']","[84, 96, 100, 84, 100]","Fri, Mar 13, 2020 at 02:50 AM",['Barbeque'],C & G's Smoking Barbecue,HTmGnEYH-dU59OA5bhNVCA,$$,https://www.yelp.com/biz/c-and-gs-smoking-barbecue-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 825-3400,3.5,65.0,C & G's Smoking Barbeque,ChIJjwZkpcon9ocRQZOkiSROchY,4.5,211,1.0,4.26,276.0
135,CAFE ENA,"4601 Grand Ave S, Minneapolis, MN 55419, United States",44.91943,-93.28408,"[124460, 60047, 233965, 237538, 246618, 233964, 280688, 280687, 338714]","['2017/01/17', '2017/11/08', '2018/01/09', '2018/03/21', '2018/07/12', '2018/11/15', '2018/12/26', '2019/11/26', '2020/01/22']","['Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']","[96, 72, 92, 92, 96, 82, 96, 80, 92]","Fri, Mar 13, 2020 at 02:50 AM","['Bakeries', 'Coffee & Tea', 'Breakfast & Brunch']",Patisserie 46,7qd98YA5vv0ASuXGjVvn0A,$$,https://www.yelp.com/biz/patisserie-46-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 354-3257,4.5,346.0,Cafe Ena,ChIJhbI677Mn9ocRomlyuvUgta8,4.6,443,2.0,4.56,789.0
136,CAFE PATTEEN,"920 2nd Ave S #295, Minneapolis, MN 55402, United States",44.97325,-93.2721,"[60156, 209017]","['2017/07/24', '2019/02/11']","['Routine', 'Routine']","[96, 96]","Fri, Mar 13, 2020 at 02:50 AM",['Cafes'],Cafe Patteen,AkqWKcbB39v6F_4Cg1GXiQ,$,https://www.yelp.com/biz/cafe-patteen-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,[],(612) 371-0262,4.0,34.0,Cafe Patteen,ChIJ4ysuvpcys1IRcJOUrQomnCA,4.3,34,1.0,4.15,68.0
137,CAFE TARGET,"2500 E Lake St, Minneapolis, MN 55406, United States",44.97396,-93.27563,"[60216, 223043, 223042, 263920, 263919, 322538]","['2017/08/24', '2017/09/18', '2018/08/07', '2018/09/06', '2019/08/05', '2019/08/21']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']","[92, 100, 92, 100, 88, 100]","Fri, Mar 13, 2020 at 02:50 AM",['Coffee & Tea'],Starbucks,gM4XmIyob58CRl5QIS8aNw,$$,https://www.yelp.com/biz/starbucks-minneapolis-19?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 492-2230,3.0,9.0,Target Cafe-Pizza,ChIJvTleICIo9ocRB4GcOwRbbOM,4.0,2,2.0,3.18,11.0
138,CAFE TARGET,"2500 E Lake St, Minneapolis, MN 55406, United States",44.9735,-93.27446,"[251652, 252117]","['2018/06/05', '2019/06/10']","['Routine', 'Routine']","[100, 100]","Fri, Mar 13, 2020 at 02:50 AM","['Coffee & Tea', 'Bagels', 'Sandwiches']",Coffee and Bagels,UjzEyF4t4iV2KoWraNb7kQ,$$,https://www.yelp.com/biz/coffee-and-bagels-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 338-0767,4.0,6.0,Target Cafe-Pizza,ChIJvTleICIo9ocRB4GcOwRbbOM,4.0,2,2.0,4.0,8.0
139,CAFFETTO,"708 W 22nd St, Minneapolis, MN 55405, United States",44.96116,-93.28845,"[11178, 247284]","['2018/04/04', '2019/10/03']","['Routine', 'Routine']","[96, 92]","Fri, Mar 13, 2020 at 02:50 AM",['Coffee & Tea'],Caffetto Café,MCN-YP3vj0iYkFZRfOe0Ew,$,https://www.yelp.com/biz/caffetto-caf%C3%A9-minneapolis-2?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 872-0911,4.0,94.0,Caffetto Coffee House,ChIJV0IZ6s8ys1IRIcqYn23Faxw,4.5,610,1.0,4.43,704.0
140,CAIRO GRILL,"1922 Chicago Ave, Minneapolis, MN 55404, United States",44.96315,-93.26296,"[11226, 227053, 231203, 227052, 272416, 272415, 330052]","['2017/09/27', '2017/10/26', '2017/11/28', '2018/09/20', '2018/10/22', '2019/09/20', '2019/10/15']","['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']","[88, 90, 96, 76, 94, 90, 96]","Fri, Mar 13, 2020 at 02:50 AM","['Middle Eastern', 'African', 'Sandwiches']",Daily Cairo Grill,Haa7PDjT4HF6gCHt-EDObQ,$,https://www.yelp.com/biz/daily-cairo-grill-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,[],(612) 870-6200,4.5,14.0,Daily Cairo Grill,ChIJo85TL6Yys1IR35_yksmv8G8,4.2,148,1.0,4.23,162.0
141,CAJUN BOILING,"1931 Nicollet Ave, Minneapolis, MN 55403, United States",44.96284,-93.27744,"[228100, 241561, 241560, 292978, 292977, 349780]","['2018/01/22', '2018/03/05', '2019/01/23', '2019/03/12', '2020/01/23', '2020/02/05']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']","[84, 100, 94, 96, 78, 100]","Fri, Mar 13, 2020 at 02:50 AM",['Cajun/Creole'],Cajun Boiling,Lx9tjknn2wCxY9oGy-SZ2g,$$,https://www.yelp.com/biz/cajun-boiling-minneapolis-2?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,"['delivery', 'pickup']",(612) 871-2334,3.5,91.0,Cajun Boiling Minneapolis,ChIJXaSgL7gys1IRe6CANnZ11AE,3.9,372,2.0,3.82,463.0
142,CALIS VIETNAMESE RESTAURANT,"648 Broadway St NE, Minneapolis, MN 55413, United States",44.99851,-93.25589,"[181039, 195150, 11317, 225573, 225572, 269234, 276644, 269233, 327615]","['2017/03/28', '2017/05/16', '2017/08/21', '2017/10/20', '2018/08/23', '2018/10/19', '2018/12/07', '2019/08/22', '2019/10/10']","['Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up']","[96, 100, 66, 96, 76, 86, 96, 80, 96]","Fri, Mar 13, 2020 at 02:50 AM","['Chinese', 'Vietnamese', 'Salad']",Cali's Vietnamese,9vd3o2jIvtWLcJGyqpSbxg,$,https://www.yelp.com/biz/calis-vietnamese-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,"['delivery', 'pickup']",(612) 623-4704,3.0,74.0,Cali's Vietnamese Restaurant,ChIJ-Y5LBoUts1IRtqUkJ6CZKoU,3.9,266,1.0,3.7,340.0
